CustomerID,FirstName,LastName,Email,Phone,Address,City,State,PostalCode,Country,DateCreated,DateOfBirth
1,Nathan,Mcbride,amandastanley@example.com,(927)933-5129x234,1593 Wise Circle Suite 788,New York,Missouri,25126,Kyrgyz Republic,2022-02-26,1991-09-15
2,Joshua,King,patrick60@example.com,605.811.5637,7476 Colon Parkway,New York,Maine,82891,Morocco,2020-12-18,1984-04-01
3,Kristy,Noble,afisher@example.net,+1-522-483-6831x8391,3975 Kidd Mews,New York,Colorado,3250,Nepal,2022-11-05,1988-03-23
4,Angela,Patterson,thomasjennifer@example.com,652.589.9664,2937 Mcdaniel Plains Suite 828,New York,Colorado,42011,Cayman Islands,2020-09-22,2002-01-17
5,Travis,Melendez,johnsonjonathan@example.net,510-995-1326x107,91857 Rodriguez Passage,New York,Colorado,81774,Mali,2021-07-01,2005-02-24
6,Amanda,Brown,derekperkins@example.org,+1-745-243-1857x3293,64306 Shepherd Fork,Los Angeles,Florida,16936,Greenland,2022-12-14,1944-07-09
7,James,Mills,yross@example.net,386.889.9298x387,65946 Tara Pass,Los Angeles,Utah,39425,Korea,2023-04-20,1990-10-19
8,Phyllis,Love,mary53@example.org,344.380.2969x6306,06173 Sydney Via,Los Angeles,Illinois,87951,French Southern Territories,2020-08-31,1941-09-11
9,Ashley,Haas,alexanderthomas@example.com,344-252-4394,808 Torres Heights,Los Angeles,Illinois,54984,British Indian Ocean Territory (Chagos Archipelago),2023-05-07,1955-11-27
10,Anne,Wilkins,cassandrasmith@example.net,(674)795-1375x096,50426 Williams Cliffs Apt. 305,Los Angeles,New Mexico,27604,Sierra Leone,2021-03-13,1989-10-24
11,Theresa,Glass,mary89@example.org,+1-758-846-6345,8428 Thompson Forges Suite 822,New Ronald,South Carolina,17190,Mozambique,2023-02-05,1981-05-25
12,Teresa,Oliver,beth45@example.net,001-437-713-0520,31988 Dean Curve Suite 629,Lake Christophertown,South Carolina,42757,Congo,2022-02-16,1990-08-23
13,Jennifer,Graves,weberdeborah@example.com,(936)817-8552,8290 Dodson Squares,South Cassandraland,Oregon,14935,Gambia,2021-12-20,1967-03-04
14,Michelle,Tate,schmittpaula@example.net,(999)439-7181x45860,70246 Chelsea Summit,Nancyview,Massachusetts,85807,Kiribati,2020-09-18,1961-08-05
15,Jonathan,Crawford,ann16@example.com,001-566-231-5842x65635,43621 Berry Port Suite 996,West Melissaberg,Iowa,78771,British Virgin Islands,2022-12-26,1937-01-12
16,Shelby,Thomas,ubaker@example.com,001-538-635-3890x15877,619 David Manor,Shaunmouth,Kentucky,84175,Grenada,2022-11-10,1942-07-15
17,Marissa,Carter,cabreraleah@example.com,001-795-915-2040x325,23350 David Rue Apt. 706,North Kevin,Utah,69188,Jordan,2022-05-01,1980-02-02
18,Amber,Carter,bjennings@example.org,595-579-6309,7563 Ruben Club,Grahamberg,Rhode Island,60848,Oman,2022-11-05,2003-10-25
19,Taylor,Wyatt,susan31@example.com,001-854-960-8090x28678,43921 Larry Underpass Suite 488,Montgomeryfurt,Ohio,81095,Nicaragua,2020-02-08,1950-12-22
20,Stephanie,Macias,elizabeth46@example.com,(564)620-4140,6660 Stacey Wall Suite 424,Jenniferville,Wyoming,88892,Bangladesh,2023-12-18,1943-04-18
21,Robert,Rios,traceyperry@example.org,+1-495-834-6650x793,658 Lindsey Fork Apt. 855,Marioview,Rhode Island,73210,Tonga,2023-12-30,1941-01-07
22,Lucas,Ramirez,john32@example.com,3609246485,2272 Christopher Manor Apt. 892,South Angela,Wyoming,1961,Paraguay,2020-12-28,1993-11-07
23,Thomas,Allen,michellerobertson@example.org,(280)745-7825x9967,634 Gomez Prairie Apt. 595,North Jennifer,Montana,41838,El Salvador,2022-03-07,1959-04-07
24,Levi,Walker,wgray@example.net,+1-621-416-7332x1472,91937 Deborah Bridge,Jessicatown,Kentucky,7883,Venezuela,2024-02-26,1944-06-21
25,Joshua,Robinson,brandon13@example.org,413.866.0538,517 Gonzales Skyway Suite 016,West Cheryl,New Jersey,27580,Reunion,2023-06-02,1937-02-11
26,David,Rogers,nglover@example.net,+1-287-556-9474x9595,14075 Dennis Motorway,New Jennifer,Ohio,25280,Kuwait,2020-05-22,1969-06-09
27,Karen,Ibarra,greenrobert@example.net,755-493-1355x1701,49790 Johnson Courts,Madisonberg,Oklahoma,17406,Ireland,2023-11-30,1997-12-06
28,Caitlin,Alexander,craigmartin@example.org,+1-925-244-1637x36883,24325 Watson Loop,Lindaburgh,Rhode Island,61770,South Georgia and the South Sandwich Islands,2020-11-09,1937-12-29
29,Jennifer,Lopez,ewingtaylor@example.com,214-706-1977x963,3445 Daniels Meadows,Lake Mark,New Hampshire,2734,Ghana,2020-08-27,1958-11-15
30,Julie,Burch,robinkennedy@example.net,755.724.8337x8544,8952 Owens Brook,Mcdowellville,South Carolina,80747,Jordan,2023-07-13,2003-01-31
31,Heather,Garrett,ericawilson@example.com,784.300.3900x9266,361 Robert Plaza,Hamiltonberg,Ohio,4112,Heard Island and McDonald Islands,2020-11-01,1964-07-28
32,Theresa,Rodriguez,lhester@example.com,+1-316-760-4554x629,409 Melissa Landing,Wilsonton,Connecticut,65281,Macao,2020-09-28,1985-01-21
33,Erik,Johnson,terrimurphy@example.org,554.996.6752x3444,605 Haynes Tunnel,Port James,California,18192,British Indian Ocean Territory (Chagos Archipelago),2023-02-05,1949-02-04
34,Darren,Hicks,joshuajames@example.com,790-304-3891x853,13338 Steven Mission Apt. 948,Morganside,Maryland,91753,United States Minor Outlying Islands,2021-01-15,1947-09-04
35,Amber,Daniel,jesusjordan@example.com,(910)919-9795,35393 Ramirez Groves Suite 430,Nathanielfort,Oklahoma,11927,Georgia,2023-08-04,1936-12-13
36,Michael,Watson,monica78@example.com,(525)342-0054,4972 Eric Village Apt. 418,Nataliefurt,Alaska,37449,Fiji,2021-06-15,2000-08-29
37,Kenneth,Bowman,michael33@example.com,(324)680-5421,771 Morris Common,Gailstad,West Virginia,47109,Russian Federation,2021-04-24,2005-01-07
38,Susan,Levy,edwardreese@example.org,001-349-509-7806,4652 Miller Burg Apt. 514,Christinaborough,South Carolina,82086,Chile,2021-01-11,1948-09-13
39,Jeremy,Sanchez,kimautumn@example.net,+1-263-514-4024x1064,66720 Mcdonald Harbors,East Scott,New Jersey,38050,Bermuda,2020-10-08,1966-04-07
40,Jennifer,Wilson,zpace@example.org,(976)488-9010x7599,356 Sara Gardens,Port Brianville,Texas,52768,Seychelles,2020-07-15,1997-05-03
41,Amanda,Garcia,gregorymitchell@example.org,2223931148,3033 King Fort,Alexismouth,South Carolina,7767,South Africa,2024-04-15,1999-02-16
42,Patricia,Lara,clarkstephanie@example.net,(751)419-9497x3174,48378 Johnson Villages Suite 947,South Johnview,Missouri,15324,Japan,2021-04-23,1934-01-28
43,Heidi,Elliott,lucas58@example.com,(418)392-7921x3647,251 Heidi Lodge Apt. 657,South Lauraland,Missouri,51727,Cape Verde,2022-04-27,1986-01-14
44,Abigail,Kerr,henryjulie@example.com,+1-697-212-9519x2444,18526 Michelle Square Apt. 871,East Kathy,Maryland,63348,Western Sahara,2024-05-21,1948-09-30
45,Daniel,Becker,emacdonald@example.net,331.571.1702x31064,00858 Nichols Trafficway Suite 616,Hernandeztown,Iowa,2179,Qatar,2022-07-18,1959-10-30
46,Jorge,Booker,cjackson@example.com,(392)570-1722x6238,7424 Larry Curve Suite 757,New Jennifermouth,Michigan,91726,Switzerland,2021-04-11,1941-10-18
47,Arthur,Faulkner,hilltimothy@example.org,(918)451-9318x2730,48039 Christopher Isle Apt. 335,Sandersside,Mississippi,21191,Romania,2023-10-11,2000-09-06
48,Julie,Williams,henry20@example.com,401.567.6986x555,7207 Coleman Shoal,Thompsonberg,Wyoming,39086,Mauritius,2021-07-05,1965-03-03
